Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
Algorithms to Live By,The Computer Science of Human Decisions,Brian Christian,4.5 out of 5 stars,191 ratings,"₹1,008.00","['Language:', 'English']",Length: 11 hrs and 50 mins,https://m.media-amazon.com/images/I/51HiU+5mTwL._SL500_.jpg,https://www.audible.in/pd/Algorithms-to-Live-By-Audiobook/B079P87243
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,,MJ DeMarco,4.5 out of 5 stars,276 ratings,₹836.00,"['Language:', 'English']",Length: 12 hrs and 46 mins,https://m.media-amazon.com/images/I/51MsMgvIUcL._SL500_.jpg,https://www.audible.in/pd/The-Millionaire-Fastlane-Crack-the-Code-to-Wealth-and-Live-Rich-for-a-Lifetime-Audiobook/B076ZT8KHD
Range,How Generalists Triumph in a Specialized World,David Epstein,4.5 out of 5 stars,482 ratings,₹323.00,"['Language:', 'English']",Length: 10 hrs and 17 mins,https://m.media-amazon.com/images/I/41eSJ3-5wUL._SL500_.jpg,https://www.audible.in/pd/Range-Audiobook/B07P9RSNSB
Find Your Why,A Practical Guide for Discovering Purpose for You and Your Team,Simon Sinek,4.5 out of 5 stars,53 ratings,₹615.00,"['Language:', 'English']",Length: 4 hrs and 56 mins,https://m.media-amazon.com/images/I/51mgrQxBpxL._SL500_.jpg,https://www.audible.in/pd/Find-Your-Why-Audiobook/B0754QN5ZB
No Rules Rules,Netflix and the Culture of Reinvention,Reed Hastings,4.5 out of 5 stars,554 ratings,₹888.00,"['Language:', 'English']",Length: 9 hrs and 42 mins,https://m.media-amazon.com/images/I/516qHOFsz1L._SL500_.jpg,https://www.audible.in/pd/No-Rules-Rules-Audiobook/B083ZJFTJT
The Hard Thing About Hard Things,Building a Business When There Are No Easy Answers,Ben Horowitz,4.5 out of 5 stars,530 ratings,"₹1,350.00","['Language:', 'English']",Length: 7 hrs and 57 mins,https://m.media-amazon.com/images/I/51j1P236E3L._SL500_.jpg,https://www.audible.in/pd/The-Hard-Thing-About-Hard-Things-Audiobook/B079TJQQJ4
Rework,,Jason Fried,4.5 out of 5 stars,585 ratings,₹452.00,"['Language:', 'English']",Length: 2 hrs and 50 mins,https://m.media-amazon.com/images/I/41jq-ouUBkL._SL500_.jpg,https://www.audible.in/pd/Rework-Audiobook/B079VF9TV6
The High Performance Entrepreneur,,Subroto Bagchi,5 out of 5 stars,17 ratings,"₹1,005.00","['Language:', 'English']",Length: 6 hrs and 35 mins,https://m.media-amazon.com/images/I/51E+AxYxIgL._SL500_.jpg,https://www.audible.in/pd/The-High-Performance-Entrepreneur-Audiobook/0143499076
Essentialism,The Disciplined Pursuit of Less,Greg McKeown,4.5 out of 5 stars,395 ratings,₹820.00,"['Language:', 'English']",Length: 6 hrs and 14 mins,https://m.media-amazon.com/images/I/51AP0QEvJBL._SL500_.jpg,https://www.audible.in/pd/Essentialism-Audiobook/B079WVSQ81
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.5 out of 5 stars,98 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 7 mins,https://m.media-amazon.com/images/I/41LyQkMMRNL._SL500_.jpg,https://www.audible.in/pd/The-Obstacle-Is-the-Way-Audiobook/B076YFZLXY
Outliers,The Story of Success,Malcolm Gladwell,4.5 out of 5 stars,693 ratings,₹500.00,"['Language:', 'English']",Length: 7 hrs and 18 mins,https://m.media-amazon.com/images/I/41NOnaoU9sL._SL500_.jpg,https://www.audible.in/pd/Outliers-Audiobook/B071DZQYK3
Your Money or Your Life,9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018,Vicki Robin,4.5 out of 5 stars,51 ratings,"₹1,005.00","['Language:', 'English']",Length: 11 hrs and 21 mins,https://m.media-amazon.com/images/I/519jGNHNcoL._SL500_.jpg,https://www.audible.in/pd/Your-Money-or-Your-Life-Audiobook/B07DLDPJJW
Hooked: How to Build Habit-Forming Products,,Nir Eyal,4.5 out of 5 stars,363 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 40 mins,https://m.media-amazon.com/images/I/51o-DT4Z33L._SL500_.jpg,https://www.audible.in/pd/Hooked-How-to-Build-Habit-Forming-Products-Audiobook/B079TLX3QQ
The Goal,A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,4.5 out of 5 stars,185 ratings,₹937.00,"['Language:', 'English']",Length: 11 hrs and 45 mins,https://m.media-amazon.com/images/I/51h1jhqTiZL._SL500_.jpg,https://www.audible.in/pd/The-Goal-Audiobook/B01MU2YXHW
Indistractable,How to Control Your Attention and Choose Your Life,Nir Eyal,4.5 out of 5 stars,463 ratings,"₹1,003.00","['Language:', 'English']",Length: 5 hrs and 15 mins,https://m.media-amazon.com/images/I/41bg11XnxiL._SL500_.jpg,https://www.audible.in/pd/Indistractable-Audiobook/B07SX9D5Q9
Grit,The Power of Passion and Perseverance,Angela Duckworth,4.5 out of 5 stars,318 ratings,₹820.00,"['Language:', 'English']",Length: 9 hrs and 21 mins,https://m.media-amazon.com/images/I/41KWTz0vgnL._SL500_.jpg,https://www.audible.in/pd/Grit-Audiobook/B079X24J88
The Lean Startup,How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.5 out of 5 stars,328 ratings,"₹1,005.00","['Language:', 'English']",Length: 8 hrs and 38 mins,https://m.media-amazon.com/images/I/51PAIR77wJL._SL500_.jpg,https://www.audible.in/pd/The-Lean-Startup-Audiobook/B079TJMHP9
Product-Led Growth,How to Build a Product That Sells Itself,Wes Bush,4.5 out of 5 stars,8 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 23 mins,https://m.media-amazon.com/images/I/41iAOa04wDL._SL500_.jpg,https://www.audible.in/pd/Product-Led-Growth-Audiobook/B07ZDNDZ73
Elon Musk,,Ashlee Vance,4.5 out of 5 stars,"2,177 ratings",₹820.00,"['Language:', 'English']",Length: 13 hrs and 23 mins,https://m.media-amazon.com/images/I/51e-uVPtr5L._SL500_.jpg,https://www.audible.in/pd/Elon-Musk-Audiobook/B079WV7RD1
The Ambuja Story,How a Group of Ordinary Men Created an Extraordinary Company,Narotam Sekhsaria,5 out of 5 stars,1 rating,"₹1,575.00","['Language:', 'English']",Length: 13 hrs and 59 mins,https://m.media-amazon.com/images/I/51QdGH318hL._SL500_.jpg,https://www.audible.in/pd/The-Ambuja-Story-Audiobook/B09V3KVQNK
How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.5 out of 5 stars,507 ratings,₹844.00,"['Language:', 'English']",Length: 8 hrs and 59 mins,https://m.media-amazon.com/images/I/51hAGh15bTL._SL500_.jpg,https://www.audible.in/pd/How-to-Talk-to-Anyone-Audiobook/B079TLJV49
Staff Engineer,Leadership Beyond the Management Track,Will Larson,,Not rated yet,₹668.00,"['Language:', 'English']",Length: 8 hrs and 52 mins,https://m.media-amazon.com/images/I/51CSgaeqvUS._SL500_.jpg,https://www.audible.in/pd/Staff-Engineer-Audiobook/B097CP7PSC
Secrets of the Millionaire Mind,Mastering the Inner Game of Wealth,T. Harv Eker,4.5 out of 5 stars,944 ratings,"₹1,181.00","['Language:', 'English']",Length: 5 hrs and 10 mins,https://m.media-amazon.com/images/I/51m+8bXcVcL._SL500_.jpg,https://www.audible.in/pd/Secrets-of-the-Millionaire-Mind-Audiobook/B079FPPM7J
The 1-Page Marketing Plan,"Get New Customers, Make More Money, And Stand Out From The Crowd",Allan Dib,5 out of 5 stars,138 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 32 mins,https://m.media-amazon.com/images/I/510qt-9EdrL._SL500_.jpg,https://www.audible.in/pd/The-1-Page-Marketing-Plan-Audiobook/B0771VHDL7
